,date,hospital,daily,blood_a,blood_b,blood_o,blood_ab,location_centre,location_mobile,type_wholeblood,type_apheresis_platelet,type_apheresis_plasma,blood_a+,blood_a-,blood_b+,blood_b-,blood_o+,blood_o-,blood_ab+,blood_ab-
128568,2022-01-01,Hospital Sultanah Nora Ismail,70,18,19,26,7,0,70,70,0,0,18,0,19,0,26,0,7,0
128569,2022-01-01,Hospital Sultanah Aminah,121,31,32,53,5,0,121,121,0,0,30,1,30,2,52,1,5,0
128570,2022-01-01,Hospital Sultanah Bahiyah,85,23,24,34,4,0,85,85,0,0,23,0,24,0,34,0,4,0
128571,2022-01-01,Hospital Raja Perempuan Zainab II,21,5,7,7,2,0,21,21,0,0,5,0,6,1,7,0,2,0
128572,2022-01-01,Hospital Melaka,71,17,21,30,3,5,66,71,0,0,17,0,21,0,29,1,3,0
128573,2022-01-01,Hospital Tuanku Jaafar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128574,2022-01-01,Hospital Tengku Ampuan Afzan,92,34,15,33,10,0,92,92,0,0,33,1,15,0,33,0,10,0
128575,2022-01-01,Hospital Sultan Haji Ahmad Shah,42,8,17,15,2,0,42,42,0,0,8,0,17,0,15,0,2,0
128576,2022-01-01,Hospital Seberang Jaya,74,26,17,27,4,0,74,74,0,0,26,0,16,1,27,0,3,1
128577,2022-01-01,Hospital Pulau Pinang,105,37,28,36,4,31,74,103,2,0,36,1,28,0,36,0,3,1
128578,2022-01-01,Hospital Raja Permaisuri Bainun,173,49,35,71,18,0,173,173,0,0,49,0,34,1,69,2,17,1
128579,2022-01-01,Hospital Taiping,44,9,13,19,3,0,44,44,0,0,9,0,13,0,18,1,3,0
128580,2022-01-01,Hospital Seri Manjung,60,10,15,32,3,0,60,60,0,0,10,0,15,0,32,0,3,0
128581,2022-01-01,Hospital Tengku Ampuan Rahimah,126,35,41,40,10,0,126,126,0,0,35,0,41,0,40,0,9,1
128582,2022-01-01,Hospital Sultanah Nur Zahirah,39,9,13,15,2,0,39,39,0,0,9,0,12,1,14,1,2,0
128583,2022-01-01,Hospital Queen Elizabeth II,4,0,2,2,0,0,4,4,0,0,0,0,2,0,2,0,0,0
128584,2022-01-01,Hospital Duchess Of Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128585,2022-01-01,Hospital Tawau,27,5,7,11,4,0,27,27,0,0,5,0,7,0,10,1,4,0
128586,2022-01-01,Hospital Umum Sarawak,202,52,67,71,12,0,202,202,0,0,50,2,66,1,70,1,12,0
128587,2022-01-01,Hospital Miri,4,0,3,1,0,4,0,4,0,0,0,0,3,0,1,0,0,0
128588,2022-01-01,Hospital Sibu,51,14,10,22,5,0,51,51,0,0,14,0,9,1,22,0,5,0
128589,2022-01-01,Pusat Darah Negara,807,189,234,343,41,235,572,786,16,5,186,3,226,8,338,5,41,0
128590,2022-01-02,Hospital Sultanah Nora Ismail,88,31,20,29,8,10,78,88,0,0,31,0,20,0,29,0,6,2
128591,2022-01-02,Hospital Sultanah Aminah,134,43,31,56,4,45,89,134,0,0,43,0,31,0,53,3,4,0
128592,2022-01-02,Hospital Sultanah Bahiyah,47,11,10,23,3,16,31,47,0,0,11,0,10,0,23,0,3,0
128593,2022-01-02,Hospital Raja Perempuan Zainab II,63,21,15,22,5,31,32,63,0,0,20,1,15,0,22,0,5,0
128594,2022-01-02,Hospital Melaka,115,40,35,38,2,0,115,115,0,0,40,0,34,1,38,0,2,0
128595,2022-01-02,Hospital Tuanku Jaafar,123,30,27,57,9,0,123,123,0,0,29,1,27,0,57,0,8,1
128596,2022-01-02,Hospital Tengku Ampuan Afzan,65,20,14,25,6,0,65,65,0,0,20,0,13,1,25,0,6,0
128597,2022-01-02,Hospital Sultan Haji Ahmad Shah,42,10,14,17,1,42,0,42,0,0,10,0,14,0,17,0,1,0
128598,2022-01-02,Hospital Seberang Jaya,92,21,27,38,6,0,92,92,0,0,21,0,27,0,37,1,6,0
128599,2022-01-02,Hospital Pulau Pinang,59,19,19,18,3,0,59,59,0,0,19,0,19,0,18,0,3,0
128600,2022-01-02,Hospital Raja Permaisuri Bainun,123,29,40,52,2,0,123,123,0,0,29,0,39,1,52,0,2,0
128601,2022-01-02,Hospital Taiping,35,4,13,17,1,0,35,35,0,0,4,0,12,1,17,0,1,0
128602,2022-01-02,Hospital Seri Manjung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128603,2022-01-02,Hospital Tengku Ampuan Rahimah,134,27,28,70,9,0,134,134,0,0,25,2,28,0,69,1,9,0
128604,2022-01-02,Hospital Sultanah Nur Zahirah,24,4,7,9,4,24,0,24,0,0,4,0,7,0,9,0,4,0
128605,2022-01-02,Hospital Queen Elizabeth II,10,2,3,5,0,0,10,10,0,0,2,0,3,0,5,0,0,0
128606,2022-01-02,Hospital Duchess Of Kent,16,6,1,9,0,0,16,16,0,0,6,0,1,0,9,0,0,0
128607,2022-01-02,Hospital Tawau,27,7,8,11,1,0,27,27,0,0,7,0,8,0,11,0,1,0
128608,2022-01-02,Hospital Umum Sarawak,110,29,30,46,5,0,110,110,0,0,28,1,30,0,46,0,5,0
128609,2022-01-02,Hospital Miri,117,32,27,50,8,0,117,117,0,0,32,0,27,0,49,1,8,0
128610,2022-01-02,Hospital Sibu,88,26,27,29,6,0,88,88,0,0,25,1,26,1,28,1,4,2
128611,2022-01-02,Pusat Darah Negara,707,158,175,336,38,141,566,707,0,0,157,1,174,1,331,5,38,0
128612,2022-01-03,Hospital Sultanah Nora Ismail,7,1,3,3,0,7,0,7,0,0,1,0,3,0,3,0,0,0
128613,2022-01-03,Hospital Sultanah Aminah,103,29,21,49,4,19,84,103,0,0,29,0,21,0,49,0,4,0
128614,2022-01-03,Hospital Sultanah Bahiyah,55,17,13,20,5,20,35,55,0,0,17,0,13,0,20,0,5,0
128615,2022-01-03,Hospital Raja Perempuan Zainab II,42,12,8,18,4,32,10,42,0,0,12,0,8,0,18,0,4,0
128616,2022-01-03,Hospital Melaka,7,2,0,5,0,7,0,7,0,0,2,0,0,0,5,0,0,0
128617,2022-01-03,Hospital Tuanku Jaafar,22,7,4,9,2,22,0,22,0,0,6,1,4,0,9,0,2,0
128618,2022-01-03,Hospital Tengku Ampuan Afzan,7,1,3,3,0,7,0,7,0,0,0,1,3,0,3,0,0,0
128619,2022-01-03,Hospital Sultan Haji Ahmad Shah,10,1,3,6,0,10,0,10,0,0,1,0,3,0,6,0,0,0
128620,2022-01-03,Hospital Seberang Jaya,25,5,3,14,3,14,11,25,0,0,5,0,3,0,13,1,3,0
128621,2022-01-03,Hospital Pulau Pinang,39,9,11,15,4,39,0,38,1,0,8,1,11,0,15,0,4,0
128622,2022-01-03,Hospital Raja Permaisuri Bainun,37,14,9,12,2,11,26,34,3,0,14,0,9,0,12,0,2,0
128623,2022-01-03,Hospital Taiping,16,4,3,9,0,16,0,14,2,0,4,0,3,0,9,0,0,0
128624,2022-01-03,Hospital Seri Manjung,2,0,0,1,1,2,0,2,0,0,0,0,0,0,1,0,1,0
128625,2022-01-03,Hospital Tengku Ampuan Rahimah,12,2,5,4,1,12,0,12,0,0,2,0,5,0,4,0,1,0
128626,2022-01-03,Hospital Sultanah Nur Zahirah,26,8,7,11,0,2,24,26,0,0,8,0,7,0,11,0,0,0
128627,2022-01-03,Hospital Queen Elizabeth II,23,3,8,11,1,6,17,23,0,0,3,0,8,0,11,0,1,0
128628,2022-01-03,Hospital Duchess Of Kent,4,0,1,3,0,4,0,4,0,0,0,0,1,0,3,0,0,0
128629,2022-01-03,Hospital Tawau,7,3,2,2,0,7,0,7,0,0,3,0,2,0,2,0,0,0
128630,2022-01-03,Hospital Umum Sarawak,28,5,13,10,0,28,0,28,0,0,5,0,12,1,10,0,0,0
128631,2022-01-03,Hospital Miri,12,3,4,4,1,12,0,12,0,0,3,0,4,0,4,0,1,0
128632,2022-01-03,Hospital Sibu,10,3,1,5,1,10,0,10,0,0,3,0,1,0,5,0,1,0
128633,2022-01-03,Pusat Darah Negara,230,54,59,103,14,109,121,213,11,6,54,0,58,1,102,1,14,0
