,date,hospital,requests,A+,A-,B+,B-,AB+,AB-,O+,O-
0,1970-01-01 00:00:00.000000000,"Hospital Pakar Sultanah Fatimah, Muar",42,6,3,11,4,5,7,3,3
1,1970-01-01 00:00:00.000000000,"Hospital Sultanah Nora Ismail, Batu Pahat",15,2,0,4,4,2,2,0,1
2,1970-01-01 00:00:00.000000000,"Hospital Enche Besar Hajjah Kalsom, Kluang",24,2,3,3,5,4,1,3,3
3,1970-01-01 00:00:00.000000000,Hospital Segamat,14,1,1,6,0,4,1,1,0
4,1970-01-01 00:00:00.000000000,Hospital Pontian,28,7,4,2,3,3,3,1,5
5,1970-01-01 00:00:00.000000000,Hospital Kota Tinggi,6,0,1,2,1,1,0,0,1
6,1970-01-01 00:00:00.000000000,Hospital Mersing,28,4,3,5,2,4,2,3,5
7,1970-01-01 00:00:00.000000000,Hospital Tangkak,7,3,0,1,0,2,1,0,0
8,1970-01-01 00:00:00.000000000,"Hospital Temenggung Seri Maharaja Tun Ibrahim, Kulai",14,2,1,1,5,0,1,3,1
9,1970-01-01 00:00:00.000000000,Sultan Ismail Hospital,6,1,0,1,0,1,2,0,1
10,1970-01-01 00:00:00.000000000,"Hospital Sultanah Aminah, Johor Bahru[2]",16,1,4,1,1,3,0,3,3
11,1970-01-01 00:00:00.000000000,"Sultanah Bahiyah Hospital, Alor Setar",8,1,1,1,1,2,1,0,1
12,1970-01-01 00:00:00.000000000,"Sultan Abdul Halim Hospital, Sungai Petani",15,2,0,1,4,4,2,1,1
13,1970-01-01 00:00:00.000000000,Pendang Hospital,6,1,2,0,0,1,0,2,0
14,1970-01-01 00:00:00.000000000,Kulim Hospital,6,1,2,1,1,0,0,1,0
15,1970-01-01 00:00:00.000000000,Baling Hospital,18,4,3,0,3,1,3,2,2
16,1970-01-01 00:00:00.000000000,Sik Hospital,0,0,0,0,0,0,0,0,0
17,1970-01-01 00:00:00.000000000,Hospital Yan,30,5,3,5,2,4,4,3,4
18,1970-01-01 00:00:00.000000000,Hospital Jitra,0,0,0,0,0,0,0,0,0
19,1970-01-01 00:00:00.000000000,Hospital Kuala Nerang,42,2,3,6,7,7,5,6,6
20,1970-01-01 00:00:00.000000000,"Hospital Raja Perempuan Zainab II, Kota Bharu",6,1,1,1,1,0,0,1,1
21,1970-01-01 00:00:00.000000000,Hospital Pasir Mas,6,3,1,1,0,0,0,0,1
22,1970-01-01 00:00:00.000000000,Hospital Tumpat,8,2,1,0,0,1,0,2,2
23,1970-01-01 00:00:00.000000000,Hospital Machang,28,3,4,6,1,5,3,3,3
24,1970-01-01 00:00:00.000000000,Hospital Jeli,10,1,1,1,1,3,1,1,1
25,1970-01-01 00:00:00.000000000,Hospital Tanah Merah,0,0,0,0,0,0,0,0,0
26,1970-01-01 00:00:00.000000000,"Hospital Tengku Anis, Pasir Putih",49,17,0,4,7,6,5,5,5
27,1970-01-01 00:00:00.000000000,Hospital Gua Musang,72,5,8,7,11,11,13,12,5
28,1970-01-01 00:00:00.000000000,Hospital Kuala Krai,49,6,7,6,12,9,2,5,2
29,1970-01-01 00:00:00.000000000,Hospital Universiti Sains Malaysia (HUSM),28,3,2,3,4,3,4,4,5
30,1970-01-01 00:00:00.000000000,Kuala Lumpur Hospital,6,1,0,1,1,1,0,1,1
31,1970-01-01 00:00:00.000000000,National Heart Institute of Malaysia (IJN),12,2,1,0,0,1,3,5,0
32,1970-01-01 00:00:00.000000000,Hospital Canselor Tuanku Muhriz UKM (HCTM),5,1,1,0,1,1,0,1,0
33,1970-01-01 00:00:00.000000000,University Malaya Medical Centre (UMMC),12,1,0,4,2,0,3,2,0
34,1970-01-01 00:00:00.000000000,Hospital Angkatan Tentera Tuanku Mizan,0,0,0,0,0,0,0,0,0
35,1970-01-01 00:00:00.000000000,Hospital Rehabilitasi Cheras,24,1,5,3,2,4,6,3,0
36,1970-01-01 00:00:00.000000000,Hospital Nukleus Labuan,5,1,0,3,0,0,0,1,0
37,1970-01-01 00:00:00.000000000,Jabatan Kesihatan Labuan,24,5,3,2,8,3,1,1,1
38,1970-01-01 00:00:00.000000000,Malacca General Hospital,84,13,7,9,6,9,9,19,12
39,1970-01-01 00:00:00.000000000,Hospital Alor Gajah,25,6,3,2,5,2,2,4,1
40,1970-01-01 00:00:00.000000000,Hospital Jasin,72,14,7,10,8,10,11,5,7
41,1970-01-01 00:00:00.000000000,Hospital Angkatan Tentera Terendak,16,2,3,2,1,0,1,4,3
42,1970-01-01 00:00:00.000000000,Tuanku Ja'afar Hospital,35,2,6,2,4,10,3,5,3
43,1970-01-01 00:00:00.000000000,"Hospital Tuanku Ampuan Najihah, Kuala Pilah",0,0,0,0,0,0,0,0,0
44,1970-01-01 00:00:00.000000000,Hospital Port Dickson,15,4,0,4,0,3,2,2,0
45,1970-01-01 00:00:00.000000000,Hospital Tampin,42,3,8,10,3,6,1,2,9
46,1970-01-01 00:00:00.000000000,Hospital Jelebu,0,0,0,0,0,0,0,0,0
47,1970-01-01 00:00:00.000000000,Hospital Jempol,0,0,0,0,0,0,0,0,0
48,1970-01-01 00:00:00.000000000,Hospital Rembau,0,0,0,0,0,0,0,0,0
49,1970-01-01 00:00:00.000000000,Tengku Ampuan Afzan Hospital,8,2,0,1,2,2,1,0,0
50,1970-01-01 00:00:00.000000000,Hospital Pekan,0,0,0,0,0,0,0,0,0
51,1970-01-01 00:00:00.000000000,Hospital Kuala Lipis,112,15,20,13,11,16,11,11,15
52,1970-01-01 00:00:00.000000000,Hospital Raub,0,0,0,0,0,0,0,0,0
53,1970-01-01 00:00:00.000000000,Hospital Bentong,8,1,1,0,2,0,0,2,2
54,1970-01-01 00:00:00.000000000,Hospital Jerantut,5,0,0,1,0,1,0,3,0
55,1970-01-01 00:00:00.000000000,Hospital Jengka,0,0,0,0,0,0,0,0,0
56,1970-01-01 00:00:00.000000000,Hospital Muadzam Shah,0,0,0,0,0,0,0,0,0
57,1970-01-01 00:00:00.000000000,"Hospital Sultan Haji Ahmad Shah, Temerloh",24,6,1,2,4,3,3,2,3
58,1970-01-01 00:00:00.000000000,Hospital Cameron Highlands,8,1,1,0,2,1,0,1,2
59,1970-01-01 00:00:00.000000000,Hospital Rompin,0,0,0,0,0,0,0,0,0
60,1970-01-01 00:00:00.000000000,Hospital Universiti Islam Antabangsa (UIA) Kuantan,8,3,0,2,1,0,0,2,0
61,1970-01-01 00:00:00.000000000,Hospital Bera,5,1,1,0,2,0,1,0,0
62,1970-01-01 00:00:00.000000000,Penang General Hospital,0,0,0,0,0,0,0,0,0
63,1970-01-01 00:00:00.000000000,Hospital Sungai Bakap,32,2,2,1,2,10,4,7,4
64,1970-01-01 00:00:00.000000000,Hospital Bukit Mertajam,18,1,1,3,4,2,1,3,3
65,1970-01-01 00:00:00.000000000,Hospital Balik Pulau,5,0,0,2,0,0,2,1,0
66,1970-01-01 00:00:00.000000000,Hospital Seberang Jaya,12,2,1,1,1,1,2,2,2
67,1970-01-01 00:00:00.000000000,Hospital Kepala Batas,0,0,0,0,0,0,0,0,0
68,1970-01-01 00:00:00.000000000,Hospital Batu Gajah,0,0,0,0,0,0,0,0,0
69,1970-01-01 00:00:00.000000000,"Hospital Bahagia Ulu Kinta, Tanjung Rambutan",8,1,1,3,0,2,0,1,0
70,1970-01-01 00:00:00.000000000,Hospital Changkat Melintang,40,3,6,10,3,5,4,6,3
71,1970-01-01 00:00:00.000000000,Hospital Grik,0,0,0,0,0,0,0,0,0
72,1970-01-01 00:00:00.000000000,Hospital Kampar,28,2,0,5,7,4,3,3,4
73,1970-01-01 00:00:00.000000000,Hospital Kuala Kangsar,14,1,3,1,1,2,0,2,4
74,1970-01-01 00:00:00.000000000,Hospital Parit Buntar,0,0,0,0,0,0,0,0,0
75,1970-01-01 00:00:00.000000000,"Hospital Raja Permaisuri Bainun, Ipoh",6,2,0,0,1,0,1,1,1
76,1970-01-01 00:00:00.000000000,Hospital Selama,28,2,4,0,5,6,6,1,4
77,1970-01-01 00:00:00.000000000,Hospital Seri Manjung,0,0,0,0,0,0,0,0,0
78,1970-01-01 00:00:00.000000000,Hospital Sg. Siput,8,1,1,0,0,0,3,1,2
79,1970-01-01 00:00:00.000000000,Hospital Slim River,24,4,2,4,4,1,4,4,1
80,1970-01-01 00:00:00.000000000,Hospital Tapah,0,0,0,0,0,0,0,0,0
81,1970-01-01 00:00:00.000000000,Hospital Taiping,5,2,1,2,0,0,0,0,0
82,1970-01-01 00:00:00.000000000,Hospital Teluk Intan,21,1,2,5,6,2,3,0,2
83,1970-01-01 00:00:00.000000000,"Hospital Tuanku Fauziah, Kangar",16,1,4,2,3,1,2,2,1
84,1970-01-01 00:00:00.000000000,Putrajaya Hospital,16,2,1,3,2,0,4,2,2
85,1970-01-01 00:00:00.000000000,National Cancer Institute,24,4,0,3,3,2,5,3,4
86,1970-01-01 00:00:00.000000000,"Queen Elizabeth Hospital, Kota Kinabalu (I & II)",0,0,0,0,0,0,0,0,0
87,1970-01-01 00:00:00.000000000,"Duchess of Kent Hospital, Sandakan",0,0,0,0,0,0,0,0,0
88,1970-01-01 00:00:00.000000000,Hospital Beaufort,8,2,0,1,0,2,1,1,1
89,1970-01-01 00:00:00.000000000,Hospital Beluran,20,3,2,3,3,2,3,2,2
90,1970-01-01 00:00:00.000000000,Hospital Keningau,6,0,0,1,1,1,1,1,1
91,1970-01-01 00:00:00.000000000,Hospital Kinabatangan,0,0,0,0,0,0,0,0,0
92,1970-01-01 00:00:00.000000000,Hospital Kota Belud,35,6,4,3,8,4,2,5,3
93,1970-01-01 00:00:00.000000000,Hospital Kota Marudu,0,0,0,0,0,0,0,0,0
94,1970-01-01 00:00:00.000000000,Hospital Kuala Penyu,5,1,0,1,0,2,1,0,0
95,1970-01-01 00:00:00.000000000,Hospital Kudat,0,0,0,0,0,0,0,0,0
96,1970-01-01 00:00:00.000000000,Hospital Lahad Datu,0,0,0,0,0,0,0,0,0
97,1970-01-01 00:00:00.000000000,Hospital Mesra Bukit Padang,24,5,2,2,3,4,3,3,2
98,1970-01-01 00:00:00.000000000,Hospital Papar,10,1,1,0,2,1,1,1,3
99,1970-01-01 00:00:00.000000000,Hospital Ranau,7,0,0,2,1,1,1,2,0
100,1970-01-01 00:00:00.000000000,Hospital Semporna,8,1,1,0,1,0,2,2,1
101,1970-01-01 00:00:00.000000000,Hospital Sipitang,8,2,0,0,3,1,1,1,0
102,1970-01-01 00:00:00.000000000,Hospital Tambunan,6,1,1,1,0,1,0,1,1
103,1970-01-01 00:00:00.000000000,Hospital Tawau,20,1,2,4,3,3,2,3,2
104,1970-01-01 00:00:00.000000000,Hospital Tenom,0,0,0,0,0,0,0,0,0
105,1970-01-01 00:00:00.000000000,Hospital Wanita dan Kanak-Kanak Sabah[5],28,7,1,3,6,3,1,2,5
106,1970-01-01 00:00:00.000000000,Sarawak General Hospital,30,6,6,2,3,2,7,1,3
107,1970-01-01 00:00:00.000000000,"Sarawak General Hospital, Kota Samarahan (Cardiac services)",0,0,0,0,0,0,0,0,0
108,1970-01-01 00:00:00.000000000,Hospital Bau,6,0,0,0,2,2,2,0,0
109,1970-01-01 00:00:00.000000000,Hospital Sibu,0,0,0,0,0,0,0,0,0
110,1970-01-01 00:00:00.000000000,Hospital Miri,21,2,4,2,3,3,4,1,2
111,1970-01-01 00:00:00.000000000,Hospital Sarikei,40,7,2,5,2,5,9,6,4
112,1970-01-01 00:00:00.000000000,Hospital Sri Aman,7,1,0,1,0,1,1,3,0
113,1970-01-01 00:00:00.000000000,Hospital Limbang,7,1,0,1,1,0,0,3,1
114,1970-01-01 00:00:00.000000000,Hospital Lawas,8,0,1,0,3,1,1,1,1
115,1970-01-01 00:00:00.000000000,Hospital Kapit,20,3,0,2,3,2,4,2,4
116,1970-01-01 00:00:00.000000000,Hospital Sentosa,0,0,0,0,0,0,0,0,0
117,1970-01-01 00:00:00.000000000,Hospital Mukah,5,0,0,2,0,0,1,1,1
118,1970-01-01 00:00:00.000000000,Hospital Marudi,35,4,6,4,4,1,2,6,8
119,1970-01-01 00:00:00.000000000,Hospital Lundu,6,0,1,1,1,1,0,0,2
120,1970-01-01 00:00:00.000000000,Hospital Bintulu,0,0,0,0,0,0,0,0,0
121,1970-01-01 00:00:00.000000000,Hospital Betong,0,0,0,0,0,0,0,0,0
122,1970-01-01 00:00:00.000000000,Hospital Serian,20,3,2,5,4,4,2,0,0
123,1970-01-01 00:00:00.000000000,Hospital Simunjan,0,0,0,0,0,0,0,0,0
124,1970-01-01 00:00:00.000000000,Rajah Charles Brooke Memorial Hospital,12,2,0,1,2,0,2,4,1
125,1970-01-01 00:00:00.000000000,Hospital Kanowit,6,1,1,0,0,1,0,0,3
126,1970-01-01 00:00:00.000000000,Hospital Saratok,6,1,0,0,0,0,3,1,1
127,1970-01-01 00:00:00.000000000,Hospital Dalat,7,2,1,1,1,0,0,1,1
128,1970-01-01 00:00:00.000000000,Hospital Shah Alam,72,9,5,14,9,9,6,9,11
129,1970-01-01 00:00:00.000000000,Hospital Ampang,21,0,2,1,4,10,0,1,3
130,1970-01-01 00:00:00.000000000,Hospital Banting,10,1,0,1,0,1,1,3,3
131,1970-01-01 00:00:00.000000000,Hospital Kajang,32,2,6,2,4,3,3,6,6
132,1970-01-01 00:00:00.000000000,Hospital Kuala Kubu Baru,6,0,0,2,0,1,2,0,1
133,1970-01-01 00:00:00.000000000,Hospital Selayang,16,1,2,4,2,2,2,2,1
134,1970-01-01 00:00:00.000000000,Hospital Sultan Idris Shah Serdang,14,1,4,1,2,1,1,2,2
135,1970-01-01 00:00:00.000000000,Hospital Sungai Buloh,66,7,11,9,7,8,9,7,8
136,1970-01-01 00:00:00.000000000,Hospital Tanjung Karang,0,0,0,0,0,0,0,0,0
137,1970-01-01 00:00:00.000000000,"Hospital Tengku Ampuan Jemaah, Sabak Bernam",35,4,5,3,5,4,5,5,4
138,1970-01-01 00:00:00.000000000,"Hospital Tengku Ampuan Rahimah, Klang",7,1,0,1,0,0,1,4,0
139,1970-01-01 00:00:00.000000000,Universiti Putra Malaysia Teaching Hospital,15,2,3,1,1,3,1,3,1
140,1970-01-01 00:00:00.000000000,"Universiti Teknologi MARA Teaching Hospital, Puncak Alam",60,7,10,6,6,8,6,6,11
