date,hospital,requests,A+,A-,B+,B-,AB+,AB-,O+,O-
2022-01-01,"Hospital Pakar Sultanah Fatimah, Muar",12,0,2,1,3,0,1,4,1
2022-01-01,"Hospital Sultanah Nora Ismail, Batu Pahat",24,4,2,6,2,2,1,6,1
2022-01-01,"Hospital Enche Besar Hajjah Kalsom, Kluang",5,0,0,1,0,1,2,0,1
2022-01-01,Hospital Segamat,5,0,0,1,0,1,0,1,2
2022-01-01,Hospital Pontian,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kota Tinggi,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Mersing,42,5,5,10,4,2,8,3,5
2022-01-01,Hospital Tangkak,70,7,14,4,10,7,11,11,6
2022-01-01,"Hospital Temenggung Seri Maharaja Tun Ibrahim, Kulai",70,7,13,5,9,7,10,7,12
2022-01-01,Sultan Ismail Hospital,6,0,1,0,1,0,1,1,2
2022-01-01,"Hospital Sultanah Aminah, Johor Bahru[2]",8,1,0,0,3,1,1,1,1
2022-01-01,"Sultanah Bahiyah Hospital, Alor Setar",6,1,3,0,0,0,0,1,1
2022-01-01,"Sultan Abdul Halim Hospital, Sungai Petani",32,5,4,5,4,5,3,2,4
2022-01-01,Pendang Hospital,32,2,6,5,4,2,6,1,6
2022-01-01,Kulim Hospital,20,2,2,0,0,5,4,3,4
2022-01-01,Baling Hospital,12,2,2,1,3,0,1,0,3
2022-01-01,Sik Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Yan,5,1,0,0,1,1,1,1,0
2022-01-01,Hospital Jitra,12,0,3,4,0,1,2,1,1
2022-01-01,Hospital Kuala Nerang,0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Raja Perempuan Zainab II, Kota Bharu",0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Pasir Mas,15,2,1,3,2,3,3,0,1
2022-01-01,Hospital Tumpat,5,0,1,1,1,0,1,0,1
2022-01-01,Hospital Machang,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Jeli,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Tanah Merah,8,1,0,0,0,2,2,1,2
2022-01-01,"Hospital Tengku Anis, Pasir Putih",5,0,1,1,0,0,1,0,2
2022-01-01,Hospital Gua Musang,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kuala Krai,32,6,6,2,4,5,1,1,7
2022-01-01,Hospital Universiti Sains Malaysia (HUSM),16,1,2,3,2,3,0,2,3
2022-01-01,Kuala Lumpur Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,National Heart Institute of Malaysia (IJN),42,2,6,5,5,5,8,6,5
2022-01-01,Hospital Canselor Tuanku Muhriz UKM (HCTM),8,0,1,0,2,1,2,0,2
2022-01-01,University Malaya Medical Centre (UMMC),48,2,7,9,3,7,8,6,6
2022-01-01,Hospital Angkatan Tentera Tuanku Mizan,28,4,9,2,0,3,4,2,4
2022-01-01,Hospital Rehabilitasi Cheras,35,6,11,6,3,4,0,2,3
2022-01-01,Hospital Nukleus Labuan,12,2,0,1,2,1,3,3,0
2022-01-01,Jabatan Kesihatan Labuan,24,3,5,2,3,4,2,3,2
2022-01-01,Malacca General Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Alor Gajah,48,5,9,6,7,2,8,6,5
2022-01-01,Hospital Jasin,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Angkatan Tentera Terendak,7,1,1,2,0,1,1,0,1
2022-01-01,Tuanku Ja'afar Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Tuanku Ampuan Najihah, Kuala Pilah",7,0,0,1,1,1,0,4,0
2022-01-01,Hospital Port Dickson,15,2,1,1,1,2,5,2,1
2022-01-01,Hospital Tampin,35,2,4,6,5,2,8,3,5
2022-01-01,Hospital Jelebu,18,1,3,2,4,2,4,2,0
2022-01-01,Hospital Jempol,7,0,1,0,2,1,0,3,0
2022-01-01,Hospital Rembau,15,5,0,0,2,1,3,2,2
2022-01-01,Tengku Ampuan Afzan Hospital,8,2,0,1,1,0,3,1,0
2022-01-01,Hospital Pekan,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kuala Lipis,10,0,3,0,2,3,1,1,0
2022-01-01,Hospital Raub,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Bentong,5,0,1,0,1,1,1,1,0
2022-01-01,Hospital Jerantut,14,1,2,1,1,2,3,4,0
2022-01-01,Hospital Jengka,18,2,1,3,3,2,3,1,3
2022-01-01,Hospital Muadzam Shah,0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Sultan Haji Ahmad Shah, Temerloh",18,2,2,5,0,3,2,2,2
2022-01-01,Hospital Cameron Highlands,24,4,3,1,3,5,2,3,3
2022-01-01,Hospital Rompin,5,1,0,1,2,0,0,0,1
2022-01-01,Hospital Universiti Islam Antabangsa (UIA) Kuantan,32,4,8,3,5,4,3,3,2
2022-01-01,Hospital Bera,0,0,0,0,0,0,0,0,0
2022-01-01,Penang General Hospital,14,2,2,2,2,3,0,2,1
2022-01-01,Hospital Sungai Bakap,36,5,5,6,5,3,4,1,7
2022-01-01,Hospital Bukit Mertajam,8,0,2,1,1,1,0,1,2
2022-01-01,Hospital Balik Pulau,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Seberang Jaya,14,0,3,4,2,2,2,1,0
2022-01-01,Hospital Kepala Batas,49,6,2,10,13,8,5,5,0
2022-01-01,Hospital Batu Gajah,0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Bahagia Ulu Kinta, Tanjung Rambutan",0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Changkat Melintang,8,2,0,2,0,2,0,0,2
2022-01-01,Hospital Grik,7,2,0,0,2,0,1,1,1
2022-01-01,Hospital Kampar,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kuala Kangsar,28,2,7,3,4,3,5,2,2
2022-01-01,Hospital Parit Buntar,0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Raja Permaisuri Bainun, Ipoh",8,1,1,0,1,2,1,1,1
2022-01-01,Hospital Selama,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Seri Manjung,24,1,4,3,3,6,1,1,5
2022-01-01,Hospital Sg. Siput,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Slim River,6,1,0,0,1,0,0,2,2
2022-01-01,Hospital Tapah,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Taiping,21,4,1,2,1,3,2,2,6
2022-01-01,Hospital Teluk Intan,10,1,2,1,1,1,2,0,2
2022-01-01,"Hospital Tuanku Fauziah, Kangar",6,1,1,3,0,0,0,1,0
