date,hospital,requests,A+,A-,B+,B-,AB+,AB-,O+,O-
2022-01-01,"Hospital Pakar Sultanah Fatimah, Muar",15,2,1,0,1,0,5,2,4
2022-01-01,"Hospital Sultanah Nora Ismail, Batu Pahat",0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Enche Besar Hajjah Kalsom, Kluang",50,7,6,7,5,5,3,8,9
2022-01-01,Hospital Segamat,35,2,2,7,5,3,4,6,6
2022-01-01,Hospital Pontian,7,0,1,1,1,2,1,0,1
2022-01-01,Hospital Kota Tinggi,7,1,0,0,1,3,0,1,1
2022-01-01,Hospital Mersing,30,5,5,3,3,2,2,9,1
2022-01-01,Hospital Tangkak,0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Temenggung Seri Maharaja Tun Ibrahim, Kulai",18,2,2,5,1,3,3,0,2
2022-01-01,Sultan Ismail Hospital,12,2,0,3,2,0,1,0,4
2022-01-01,"Hospital Sultanah Aminah, Johor Bahru[2]",10,3,2,0,2,2,1,0,0
2022-01-01,"Sultanah Bahiyah Hospital, Alor Setar",35,9,4,4,3,5,4,5,1
2022-01-01,"Sultan Abdul Halim Hospital, Sungai Petani",6,2,0,2,0,0,0,1,1
2022-01-01,Pendang Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,Kulim Hospital,18,4,5,2,3,0,1,3,0
2022-01-01,Baling Hospital,14,1,1,2,3,2,2,0,3
2022-01-01,Sik Hospital,7,1,0,1,0,0,1,3,1
2022-01-01,Hospital Yan,6,1,1,0,0,0,1,1,2
2022-01-01,Hospital Jitra,14,1,3,2,1,1,2,2,2
2022-01-01,Hospital Kuala Nerang,28,4,3,2,2,6,3,4,4
2022-01-01,"Hospital Raja Perempuan Zainab II, Kota Bharu",24,4,1,2,3,6,5,0,3
2022-01-01,Hospital Pasir Mas,40,4,4,1,10,6,6,5,4
2022-01-01,Hospital Tumpat,64,10,6,6,7,7,5,10,13
2022-01-01,Hospital Machang,30,5,2,3,1,8,5,4,2
2022-01-01,Hospital Jeli,10,3,1,2,1,1,0,1,1
2022-01-01,Hospital Tanah Merah,0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Tengku Anis, Pasir Putih",0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Gua Musang,15,1,4,5,1,1,1,2,0
2022-01-01,Hospital Kuala Krai,28,3,7,2,4,1,5,2,4
2022-01-01,Hospital Universiti Sains Malaysia (HUSM),8,2,0,1,1,1,1,1,1
2022-01-01,Kuala Lumpur Hospital,16,3,2,4,2,1,1,0,3
2022-01-01,National Heart Institute of Malaysia (IJN),35,2,2,6,8,1,10,6,0
2022-01-01,Hospital Canselor Tuanku Muhriz UKM (HCTM),24,2,3,2,3,4,4,2,4
2022-01-01,University Malaya Medical Centre (UMMC),0,0,0,0,0,0,0,0,0
